Name,select_proportion,unnorma_dist2_selected_ae,unnorma_dist2_selected_mae,unnorma_dist2_selected_me,unnorma_dist2_selected_mre,unnorma_dist2_selected_mse,unnorma_dist2_selected_rmse,unnorma_dist1_me,unnorma_dist1_ae,unnorma_dist1_mae,unnorma_dist1_mre,unnorma_dist1_mse,unnorma_dist1_rmse,unnorma_dist2_ae,unnorma_dist2_mae,unnorma_dist2_me,unnorma_dist2_mre,unnorma_dist2_mse,unnorma_dist2_rmse,unnorma_dist3_ae,unnorma_dist3_mae,unnorma_dist3_me,unnorma_dist3_mre,unnorma_dist3_mse,unnorma_dist3_rmse,max_dist3_mae,overlap_index
colorful-sweep-123,1.00 ,5.26 ,5.26 ,18.78 ,NaN,35.93 ,5.99 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.25 ,5.25 ,18.78 ,Infinity,35.91 ,5.99 ,0.06 ,2708.00 
helpful-sweep-117,0.90 ,5.26 ,5.26 ,18.78 ,NaN,35.93 ,5.99 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.25 ,5.25 ,18.78 ,Infinity,35.91 ,5.99 ,0.06 ,2437.00 
colorful-sweep-111,0.80 ,5.26 ,5.26 ,18.78 ,NaN,35.93 ,5.99 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.25 ,5.25 ,18.78 ,Infinity,35.91 ,5.99 ,0.06 ,2166.00 
driven-sweep-105,0.70 ,5.26 ,5.26 ,18.78 ,NaN,35.93 ,5.99 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.25 ,5.25 ,18.78 ,Infinity,35.91 ,5.99 ,0.06 ,1895.00 
misunderstood-sweep-99,0.60 ,5.26 ,5.26 ,18.77 ,NaN,35.93 ,5.99 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.25 ,5.25 ,18.78 ,Infinity,35.91 ,5.99 ,0.05 ,1624.00 
scarlet-sweep-93,0.50 ,5.26 ,5.26 ,18.76 ,NaN,35.94 ,5.99 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.25 ,5.25 ,18.78 ,Infinity,35.91 ,5.99 ,0.05 ,1354.00 
clean-sweep-87,0.40 ,5.26 ,5.26 ,18.78 ,NaN,35.94 ,6.00 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.25 ,5.25 ,18.78 ,Infinity,35.91 ,5.99 ,0.06 ,1083.00 
fast-sweep-81,0.30 ,5.26 ,5.26 ,18.78 ,NaN,35.95 ,6.00 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.25 ,5.25 ,18.78 ,Infinity,35.92 ,5.99 ,0.06 ,812.00 
atomic-sweep-75,0.20 ,5.26 ,5.26 ,18.78 ,NaN,35.96 ,6.00 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.26 ,5.26 ,18.78 ,Infinity,35.92 ,5.99 ,0.06 ,541.00 
giddy-sweep-69,0.10 ,5.26 ,5.26 ,18.80 ,NaN,36.00 ,6.00 ,18.77 ,5.25 ,5.25 ,NaN,35.88 ,5.99 ,5.25 ,5.25 ,18.76 ,NaN,35.84 ,5.99 ,5.26 ,5.26 ,18.79 ,Infinity,35.94 ,5.99 ,0.06 ,270.00 
